,wl,flux
290,3761.0,0.0
291,3761.9,0.0
292,3762.8,0.0
293,3763.7,0.0
294,3764.6,0.0
295,3765.5,0.0
296,3766.4,0.0
297,3767.3,0.0
298,3768.2,0.0
299,3769.1,0.0
300,3770.0,0.0
301,3770.9,0.0
302,3771.8,0.0
303,3772.7,0.0
304,3773.6,0.0
305,3774.5,0.0
306,3775.4,0.0
307,3776.3,0.0
308,3777.2,0.0
309,3778.1,0.0
310,3779.0,0.0
311,3779.9,0.0
312,3780.8,0.0
313,3781.7,0.0
314,3782.6,0.0
315,3783.5,0.0
316,3784.4,0.0
317,3785.3,0.0
318,3786.2,0.0
319,3787.1,0.0
320,3788.0,0.0
321,3788.9,0.0
322,3789.8,0.0
323,3790.7,0.0
324,3791.6,0.0
325,3792.5,0.0
326,3793.4,0.0
327,3794.3,0.0
328,3795.2,0.0
329,3796.1,0.0
330,3797.0,0.0
331,3797.9,0.0
332,3798.8,0.0
333,3799.7,0.0
334,3800.6,0.0
335,3801.5,0.0
336,3802.4,0.0
337,3803.3,0.0
338,3804.2,0.0
339,3805.1,0.0
340,3806.0,0.0
341,3806.9,0.0
342,3807.8,0.0
343,3808.7,0.0
344,3809.6,0.0
345,3810.5,0.0
346,3811.4,0.0
347,3812.3,0.0
348,3813.2,0.0
349,3814.1,0.0
350,3815.0,0.0
351,3815.9,0.0
352,3816.8,0.0
353,3817.7,0.0
354,3818.6,0.0
355,3819.5,0.0
356,3820.4,0.0
357,3821.3,0.0
358,3822.2,0.0
359,3823.1,0.0
360,3824.0,0.0
361,3824.9,0.0
362,3825.8,0.0
363,3826.7,0.0
364,3827.6,0.0
365,3828.5,0.0
366,3829.4,0.0
367,3830.3,0.0
368,3831.2,0.0
369,3832.1,0.0
370,3833.0,0.0
371,3833.9,0.0
372,3834.8,0.0
373,3835.7,0.0
374,3836.6,0.0
375,3837.5,0.0
376,3838.4,0.0
377,3839.3,0.0
378,3840.2,0.0
379,3841.1,0.0
380,3842.0,0.0
381,3842.9,0.0
382,3843.8,0.0
383,3844.7,0.0
384,3845.6,0.0
385,3846.5,0.0
386,3847.4,0.0
387,3848.3,0.0
388,3849.2,0.0
389,3850.1,0.0
390,3851.0,0.0
391,3851.9,0.0
392,3852.8,0.0
393,3853.7,0.0
394,3854.6,0.0
395,3855.5,0.0
396,3856.4,0.0
397,3857.3,0.0
398,3858.2,0.0
399,3859.1,0.0
400,3860.0,0.0
401,3860.9,0.0
402,3861.8,0.0
403,3862.7,0.0
404,3863.6,0.0
405,3864.5,0.0
406,3865.4,0.0
407,3866.3,0.0
408,3867.2,0.0
409,3868.1,0.0
410,3869.0,0.0
411,3869.9,0.0
412,3870.8,0.0
413,3871.7,0.0
414,3872.6,0.0
415,3873.5,0.0
416,3874.4,0.0
417,3875.3,0.0
418,3876.2,0.0
419,3877.1,0.0
420,3878.0,0.0
421,3878.9,0.0
422,3879.8,0.0
423,3880.7,0.0
424,3881.6,0.0
425,3882.5,0.0
426,3883.4,0.0
427,3884.3,0.0
428,3885.2,0.0
429,3886.1,0.0
430,3887.0,0.0
431,3887.9,0.0
432,3888.8,0.0
433,3889.7,0.0
434,3890.6,0.0
435,3891.5,0.0
436,3892.4,0.0
437,3893.3,0.0
438,3894.2,0.0
439,3895.1,0.0
440,3896.0,0.0
441,3896.9,0.0
442,3897.8,0.0
443,3898.7,0.0
444,3899.6,0.0
445,3900.5,0.0
446,3901.4,0.0
447,3902.3,0.0
448,3903.2,0.0
449,3904.1,0.0
450,3905.0,0.0
451,3905.9,0.0
452,3906.8,0.0
453,3907.7,0.0
454,3908.6,0.0
455,3909.5,0.0
456,3910.4,0.0
457,3911.3,0.0
458,3912.2,0.0
459,3913.1,0.0
460,3914.0,0.0
461,3914.9,0.0
462,3915.8,0.0
463,3916.7,0.0
464,3917.6,0.0
465,3918.5,0.0
466,3919.4,0.0
467,3920.3,0.0
468,3921.2,0.0
469,3922.1,0.0
470,3923.0,0.0
471,3923.9,0.0
472,3924.8,0.0
473,3925.7,0.0
474,3926.6,0.0
475,3927.5,0.0
476,3928.4,0.0
477,3929.3,0.0
478,3930.2,0.0
479,3931.1,0.0
480,3932.0,0.0
481,3932.9,0.0
482,3933.8,0.0
483,3934.7,0.0
484,3935.6,0.0
485,3936.5,0.0
486,3937.4,0.0
487,3938.3,0.0
488,3939.2,0.0
489,3940.1,0.0
490,3941.0,0.0
491,3941.9,0.0
492,3942.8,0.0
493,3943.7,0.0
494,3944.6,0.0
495,3945.5,0.0
496,3946.4,0.0
497,3947.3,0.0
498,3948.2,0.0
499,3949.1,0.0
500,3950.0,0.0
501,3950.9,0.0
502,3951.8,0.0
503,3952.7,0.0
504,3953.6,0.0
505,3954.5,0.0
506,3955.4,0.0
507,3956.3,0.0
508,3957.2,0.0
509,3958.1,0.0
510,3959.0,0.0
511,3959.9,0.0
512,3960.8,0.0
513,3961.7,0.0
514,3962.6,0.0
515,3963.5,0.0
516,3964.4,0.0
517,3965.3,0.0
518,3966.2,0.0
519,3967.1,0.0
520,3968.0,0.0
521,3968.9,0.0
522,3969.8,0.0
523,3970.7,0.0
524,3971.6,0.0
525,3972.5,0.0
526,3973.4,0.0
527,3974.3,0.0
528,3975.2,0.0
529,3976.1,0.0
530,3977.0,0.014104329455159942
531,3977.9,0.014060346909449722
532,3978.8,0.014386385424726434
533,3979.7,0.014448295943116177
534,3980.6,0.01467420151267039
535,3981.5,0.014755072646726961
536,3982.4,0.01487114610437367
537,3983.3,0.015095480599142829
538,3984.2,0.015338271328151154
539,3985.1,0.0155609373892562
540,3986.0,0.016018454029413428
541,3986.9,0.016052787017779242
542,3987.8,0.01650308367939414
543,3988.7,0.016620279953642274
544,3989.6,0.016869982590824905
545,3990.5,0.01714353243868234
546,3991.4,0.01734620143185976
547,3992.3,0.017679841357447074
548,3993.2,0.017717715194096807
549,3994.1,0.018157213494587314
550,3995.0,0.018379716162820182
551,3995.9,0.018895606389002707
552,3996.8,0.019126757328894232
553,3997.7,0.019198999707522663
554,3998.6,0.019454208896399674
555,3999.5,0.019846210157748276
556,4000.4,0.020017663007943536
557,4001.3,0.01993784761531112
558,4002.2,0.020496033075382905
559,4003.1,0.0204940110431888
560,4004.0,0.020614804922523083
561,4004.9,0.02095772259777472
562,4005.8,0.021209805260086832
563,4006.7,0.021269712604881072
564,4007.6,0.021509274197995785
565,4008.5,0.021350727710738017
566,4009.4,0.0215181033223252
567,4010.3,0.021720698888539978
568,4011.2,0.0219041380327542
569,4012.1,0.021907641878545412
570,4013.0,0.02190046427721425
571,4013.9,0.02222766758146592
572,4014.8,0.022466755968328294
573,4015.7,0.02255248091426505
574,4016.6,0.022712797133328595
575,4017.5,0.02301147479990358
576,4018.4,0.02308558126220104
577,4019.3,0.023182386120279837
578,4020.2,0.023404412973673266
579,4021.1,0.023446028658100308
580,4022.0,0.023553223527780318
581,4022.9,0.02373034174495412
582,4023.8,0.023705597978999356
583,4024.7,0.023780961498414424
584,4025.6,0.02407464888641638
585,4026.5,0.024239170080793376
586,4027.4,0.024095083741742275
587,4028.3,0.023958756733068926
588,4029.2,0.02402753525053937
589,4030.1,0.024017531054135916
590,4031.0,0.024388402716284254
591,4031.9,0.02461268923104823
592,4032.8,0.024768954941667247
593,4033.7,0.024814734768826795
594,4034.6,0.024743612259624067
595,4035.5,0.02472597352976392
596,4036.4,0.02459402474415101
597,4037.3,0.025330583143864358
598,4038.2,0.025246079222927646
599,4039.1,0.025204031133127386
600,4040.0,0.025265303359207337
601,4040.9,0.025454866076428898
602,4041.8,0.025665627666105816
603,4042.7,0.02555970194880047
604,4043.6,0.025635709583286835
605,4044.5,0.025363859019443585
606,4045.4,0.025820190956352188
607,4046.3,0.026027002058951445
608,4047.2,0.025978331396519144
609,4048.1,0.02584757989873622
610,4049.0,0.025823811798806676
611,4049.9,0.026211339112034483
612,4050.8,0.026374441252568177
613,4051.7,0.02618430442807996
614,4052.6,0.026343453253267538
615,4053.5,0.026338502351737344
616,4054.4,0.02619901190318156
617,4055.3,0.026098828395939574
618,4056.2,0.026159012087944706
619,4057.1,0.026551477240676715
620,4058.0,0.026840561541833525
621,4058.9,0.0265182908961391
622,4059.8,0.026337020097288673
623,4060.7,0.026401463455613634
624,4061.6,0.026512857535148704
625,4062.5,0.02643880499821385
626,4063.4,0.026215468264090727
627,4064.3,0.026369297459302072
628,4065.2,0.026248577780384214
629,4066.1,0.026251566010643577
630,4067.0,0.026192881463678142
631,4067.9,0.026301764995072318
632,4068.8,0.026325378606604822
633,4069.7,0.026154249679661654
634,4070.6,0.026234374986786862
635,4071.5,0.026241765377148615
636,4072.4,0.02630636640750588
637,4073.3,0.026053428450836764
638,4074.2,0.026016107633508267
639,4075.1,0.02603024246848316
640,4076.0,0.025957781115377575
641,4076.9,0.025772285909936875
642,4077.8,0.02536428079960032
643,4078.7,0.02525118535232486
644,4079.6,0.024680904332584234
645,4080.5,0.024542503847838154
646,4081.4,0.02426646486822696
647,4082.3,0.02380448448376912
648,4083.2,0.02346057066867928
649,4084.1,0.023381449744883827
650,4085.0,0.023115935092224173
651,4085.9,0.022867492825145667
652,4086.8,0.02240447160695325
653,4087.7,0.022013580680232975
654,4088.6,0.021775387894500123
655,4089.5,0.021547359619996848
656,4090.4,0.021186244508504645
657,4091.3,0.02080894647745419
658,4092.2,0.02096645195932773
659,4093.1,0.020773439371836518
660,4094.0,0.020450826825423183
661,4094.9,0.02029789684755154
662,4095.8,0.020265788945614864
663,4096.7,0.020262054732396822
664,4097.6,0.020226309551267647
665,4098.5,0.020086984684115183
666,4099.4,0.020064625569525592
667,4100.3,0.02028001718107613
668,4101.2,0.020200684130435995
669,4102.1,0.02033948734183534
670,4103.0,0.020337194868415894
671,4103.9,0.020146691497552334
672,4104.8,0.02027336597509855
673,4105.7,0.020141354845482223
674,4106.6,0.02005447187481956
675,4107.5,0.020400647901286213
676,4108.4,0.020563420922105304
677,4109.3,0.020756442697673374
678,4110.2,0.02082397352858328
679,4111.1,0.02071557815004866
680,4112.0,0.021044057456116445
681,4112.9,0.021334155220757635
682,4113.8,0.021569674234976535
683,4114.7,0.021784885522825995
684,4115.6,0.022108828590623804
685,4116.5,0.02251397610797932
686,4117.4,0.022891141841477686
687,4118.3,0.023209343281658544
688,4119.2,0.02366494631481283
689,4120.1,0.02394365164903565
690,4121.0,0.02439118908222029
691,4121.9,0.02476721024628203
692,4122.8,0.0251033490473684
693,4123.7,0.025395368830630174
694,4124.6,0.025712433090855972
695,4125.5,0.0261612590350888
696,4126.4,0.025962268257162812
697,4127.3,0.026539088165672974
698,4128.2,0.026723448346319637
699,4129.1,0.026933165413371356
700,4130.0,0.02714276218369033
701,4130.9,0.027206010331559997
702,4131.8,0.027144608859189054
703,4132.7,0.027206153035279915
704,4133.6,0.02750773690451499
705,4134.5,0.027812848167502673
706,4135.4,0.027939497344912988
707,4136.3,0.027902690852070786
708,4137.2,0.027897500779866708
709,4138.1,0.02798279766580972
710,4139.0,0.027970489814900808
711,4139.9,0.028243263261822357
712,4140.8,0.028329820647874263
713,4141.7,0.02865964376237002
714,4142.6,0.02880256620699155
715,4143.5,0.028781703655755334
716,4144.4,0.02876035759731862
717,4145.3,0.02876998321651896
718,4146.2,0.028664752546024967
719,4147.1,0.02896029658129308
720,4148.0,0.028818426871131606
721,4148.9,0.0289428325509926
722,4149.8,0.02914047753552474
723,4150.7,0.029204577356381496
724,4151.6,0.029114591908648648
725,4152.5,0.02898736868094358
726,4153.4,0.02907170904890132
727,4154.3,0.02903265201349148
728,4155.2,0.02910757774755542
729,4156.1,0.029059312072517635
730,4157.0,0.02893677791095415
731,4157.9,0.02888064594542556
732,4158.8,0.028911579775704896
733,4159.7,0.02885727642920434
734,4160.6,0.028935319757839
735,4161.5,0.02919529413939795
736,4162.4,0.02928292842412882
737,4163.3,0.02912869009291722
738,4164.2,0.028898805424764192
739,4165.1,0.02882528435670731
740,4166.0,0.028972570787733458
741,4166.9,0.02893975748460093
742,4167.8,0.0286901062107054
743,4168.7,0.028698032122299988
744,4169.6,0.028801224273879374
745,4170.5,0.029024459737388656
746,4171.4,0.029221881885985432
747,4172.3,0.02903570185765357
748,4173.2,0.02896332308952075
749,4174.1,0.029053979592561247
750,4175.0,0.028967088907888926
751,4175.9,0.028775685768668548
752,4176.8,0.02877959422453184
753,4177.7,0.028931685213825907
754,4178.6,0.02886914541470989
755,4179.5,0.028489900665586917
756,4180.4,0.02863179676348769
757,4181.3,0.028757048444127263
758,4182.2,0.028971463255260538
759,4183.1,0.02900664998227519
760,4184.0,0.02884087326812965
761,4184.9,0.028756099342188444
762,4185.8,0.029036565554778054
763,4186.7,0.028975533726997193
764,4187.6,0.028978014463379095
765,4188.5,0.02880869779893864
766,4189.4,0.028883218104244098
767,4190.3,0.028960739994638777
768,4191.2,0.028956925746275775
769,4192.1,0.02917741743480006
770,4193.0,0.029023784125653256
771,4193.9,0.029229873959521927
772,4194.8,0.029449482704775033
773,4195.7,0.029357537209570957
774,4196.6,0.02926805576652929
775,4197.5,0.029320466849484528
776,4198.4,0.029343124933690398
777,4199.3,0.029290783385873563
778,4200.2,0.029376381273293756
779,4201.1,0.02951622937803061
780,4202.0,0.02949885309080719
781,4202.9,0.029354122232527032
782,4203.8,0.029349750967320176
783,4204.7,0.02948839433963402
784,4205.6,0.029216500533688617
785,4206.5,0.029048163381417743
786,4207.4,0.029142701237256277
787,4208.3,0.029142438232103482
788,4209.2,0.029075034470046886
789,4210.1,0.029043881696635552
790,4211.0,0.02904562357177276
791,4211.9,0.028954300619623924
792,4212.8,0.02883226630245089
793,4213.7,0.028726774795663854
794,4214.6,0.028947703964126457
795,4215.5,0.02909585121319275
796,4216.4,0.02896829827986615
797,4217.3,0.028779785371980452
